id,state,name,residents_confirmed,residents_confirmed_rate,residents_deaths,residents_deaths_rate,residents_active,residents_active_rate,residents_tested,residents_tested_rate,staff_confirmed,staff_confirmed_rate,staff_deaths,staff_deaths_rate,staff_active,staff_active_rate
591,Maine,Bolduc Correctional Facility,2020-11-16|0;2020-11-18|0;2020-11-20|0;2020-11-22|0;2020-11-23|0;2020-11-26|0;2020-11-29|0;2020-11-30|0;2020-12-02|0;2020-12-04|0;2020-12-06|0;2020-12-09|0;2020-12-13|0;2020-12-14|0;2020-12-16|0;2020-12-18|0;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-25|0;2020-12-27|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2021-01-01|0;2021-01-03|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-08|0;2021-01-11|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-07|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,,,,,,,,,,,,
592,Maine,Maine Correctional Center MCC,2020-11-16|145;2020-11-18|145;,,,,,,,,,,,,,
593,Maine,Maine Correctional Womens Center,2020-11-16|0;2020-11-18|0;,,,,,,,,,,,,,
594,Maine,Maine State Prison,2020-11-16|3;2020-11-18|3;2020-11-20|3;2020-11-22|3;2020-11-23|3;2020-11-26|3;2020-11-29|3;2020-11-30|3;2020-12-02|3;2020-12-04|3;2020-12-06|3;2020-12-09|3;2020-12-13|3;2020-12-14|3;2020-12-16|3;2020-12-18|3;2020-12-21|3;2020-12-22|3;2020-12-23|3;2020-12-25|3;2020-12-27|3;2020-12-28|3;2020-12-29|3;2020-12-30|3;2021-01-01|3;2021-01-03|3;2021-01-04|3;2021-01-05|3;2021-01-06|3;2021-01-08|3;2021-01-11|3;2021-01-13|3;2021-01-15|3;2021-01-17|3;2021-01-18|3;2021-01-20|3;2021-01-22|3;2021-01-25|3;2021-01-27|3;2021-01-29|3;2021-01-31|3;2021-02-01|3;2021-02-03|3;2021-02-05|3;2021-02-07|3;2021-02-08|3;2021-02-10|3;2021-02-12|3;2021-02-14|3;2021-02-15|3;2021-02-17|3;2021-02-19|3;2021-02-22|3;2021-02-23|3;2021-02-24|3;2021-02-26|3;2021-02-28|3;2021-03-01|3;2021-03-03|3;2021-03-05|3;2021-03-07|3;2021-03-08|3;2021-03-10|3;2021-03-12|3;2021-03-14|3;2021-03-15|3;2021-03-17|10;2021-03-19|13;2021-03-21|13;2021-03-22|13;2021-03-24|13;2021-03-26|14;2021-03-28|14;2021-03-29|14;2021-03-31|15;2021-04-02|15;2021-04-04|15;2021-04-05|15;2021-04-07|15;2021-04-09|15;2021-04-11|15;2021-04-12|15;2021-04-14|15;2021-04-16|15;2021-04-18|15;2021-04-19|15;2021-04-21|15;2021-04-23|15;2021-04-25|15;2021-04-26|15;2021-04-28|15;2021-04-30|15;2021-05-02|15;2021-05-03|15;2021-05-05|15;2021-05-07|15;2021-05-09|15;2021-05-10|15;2021-05-12|15;2021-05-14|15;2021-05-16|15;2021-05-17|15;2021-05-19|15;2021-05-21|15;2021-05-23|15;2021-05-24|15;2021-05-26|15;2021-05-30|15;2021-05-31|15;2021-06-02|15;2021-06-04|15;2021-06-06|15;2021-06-07|15;2021-06-09|15;2021-06-11|15;2021-06-13|15;2021-06-14|15;2021-06-18|15;2021-06-21|15;2021-06-25|15;2021-06-28|15;,,,,,,,,,,,,,
595,Maine,Mountain View Correctional Facility,2020-11-16|0;2020-11-18|0;2020-11-20|0;2020-11-22|0;2020-11-23|0;2020-11-26|0;2020-11-29|0;2020-11-30|0;2020-12-02|0;2020-12-04|0;2020-12-06|0;2020-12-09|0;2020-12-13|0;2020-12-14|1;2020-12-16|1;2020-12-18|3;2020-12-21|3;2020-12-22|6;2020-12-23|6;2020-12-25|6;2020-12-27|6;2020-12-28|6;2020-12-29|6;2020-12-30|6;2021-01-01|6;2021-01-03|6;2021-01-04|6;2021-01-05|6;2021-01-06|6;2021-01-08|6;2021-01-11|7;2021-01-13|7;2021-01-15|7;2021-01-17|7;2021-01-18|7;2021-01-20|7;2021-01-22|7;2021-01-25|7;2021-01-27|7;2021-01-29|7;2021-01-31|7;2021-02-01|7;2021-02-03|7;2021-02-05|7;2021-02-07|7;2021-02-08|7;2021-02-10|7;2021-02-12|7;2021-02-14|7;2021-02-15|7;2021-02-17|7;2021-02-19|7;2021-02-22|7;2021-02-23|7;2021-02-24|7;2021-02-26|7;2021-02-28|7;2021-03-01|7;2021-03-03|7;2021-03-05|7;2021-03-07|7;2021-03-08|7;2021-03-10|7;2021-03-12|7;2021-03-14|7;2021-03-15|7;2021-03-17|7;2021-03-19|7;2021-03-21|7;2021-03-22|7;2021-03-24|7;2021-03-26|7;2021-03-28|7;2021-03-29|7;2021-03-31|7;2021-04-02|7;2021-04-04|7;2021-04-05|7;2021-04-07|7;2021-04-09|7;2021-04-11|7;2021-04-12|7;2021-04-14|7;2021-04-16|7;2021-04-18|7;2021-04-19|7;2021-04-21|7;2021-04-23|7;2021-04-25|7;2021-04-26|7;2021-04-28|7;2021-04-30|7;2021-05-02|7;2021-05-03|7;2021-05-05|7;2021-05-07|7;2021-05-09|7;2021-05-10|7;2021-05-12|7;2021-05-14|7;2021-05-16|7;2021-05-17|7;2021-05-19|7;2021-05-21|7;2021-05-23|7;2021-05-24|7;2021-05-26|7;2021-05-30|7;2021-05-31|7;2021-06-02|7;2021-06-04|7;2021-06-06|7;2021-06-07|7;2021-06-09|7;2021-06-11|7;2021-06-13|7;2021-06-14|7;2021-06-18|7;2021-06-21|7;2021-06-25|7;2021-06-28|7;,,,,,,,,,,,,,
597,Maine,Statewide Adult,,,,,,,,,,,,,,
598,Maine,Statewide Juvenile,2020-11-16|1;2020-11-18|1;,2020-11-16|0.03333333333333333;2020-11-18|0.03333333333333333;,,,,,,,,,,,,
1737,Maine,Long Creek Youth Development Center,2020-11-20|1;2020-11-22|1;2020-11-23|1;2020-11-26|1;2020-11-29|1;2020-11-30|1;2020-12-02|1;2020-12-04|1;2020-12-06|1;2020-12-09|1;2020-12-13|1;2020-12-14|1;2020-12-16|1;2020-12-18|1;2020-12-21|1;2020-12-22|1;2020-12-23|1;2020-12-25|1;2020-12-27|1;2020-12-28|1;2020-12-29|1;2020-12-30|1;2021-01-01|1;2021-01-03|1;2021-01-04|1;2021-01-05|1;2021-01-06|1;2021-01-08|1;2021-01-11|1;2021-01-13|1;2021-01-15|1;2021-01-17|1;2021-01-18|1;2021-01-20|1;2021-01-22|1;2021-01-25|1;2021-01-27|1;2021-01-29|1;2021-01-31|1;2021-02-01|1;2021-02-03|1;2021-02-05|1;2021-02-07|1;2021-02-08|1;2021-02-10|1;2021-02-12|1;2021-02-14|1;2021-02-15|1;2021-02-17|1;2021-02-19|1;2021-02-22|1;2021-02-23|1;2021-02-24|1;2021-02-26|1;2021-02-28|1;2021-03-01|1;2021-03-03|1;2021-03-05|1;2021-03-07|1;2021-03-08|1;2021-03-10|1;2021-03-12|1;2021-03-14|1;2021-03-15|1;2021-03-17|1;2021-03-19|1;2021-03-21|1;2021-03-22|1;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-29|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-07|2;2021-05-09|2;2021-05-10|2;2021-05-12|2;2021-05-14|2;2021-05-16|2;2021-05-17|2;2021-05-19|2;2021-05-21|2;2021-05-23|2;2021-05-24|2;2021-05-26|2;2021-05-30|2;2021-05-31|2;2021-06-02|2;2021-06-04|2;2021-06-06|2;2021-06-07|2;2021-06-09|2;2021-06-11|2;2021-06-13|2;2021-06-14|2;2021-06-18|2;2021-06-21|2;2021-06-25|2;2021-06-28|2;,2020-11-20|0.03571428571428571;2020-11-22|0.03571428571428571;2020-11-23|0.034482758620689655;2020-11-26|0.03333333333333333;2020-11-29|0.03333333333333333;2020-11-30|0.03225806451612903;2020-12-02|0.03225806451612903;2020-12-04|0.03225806451612903;2020-12-06|0.03225806451612903;2020-12-09|0.034482758620689655;2020-12-13|0.03333333333333333;2020-12-14|0.03225806451612903;2020-12-16|0.03225806451612903;2020-12-18|0.03225806451612903;2020-12-21|0.030303030303030304;2020-12-22|0.03225806451612903;2020-12-23|0.03225806451612903;2020-12-25|0.03225806451612903;2020-12-27|0.03225806451612903;2020-12-28|0.03225806451612903;2020-12-29|0.034482758620689655;2020-12-30|0.034482758620689655;2021-01-01|0.034482758620689655;2021-01-03|0.034482758620689655;2021-01-04|0.034482758620689655;2021-01-05|0.034482758620689655;2021-01-06|0.034482758620689655;2021-01-08|0.034482758620689655;2021-01-11|0.034482758620689655;2021-01-13|0.03571428571428571;2021-01-15|0.03225806451612903;2021-01-17|0.03225806451612903;2021-01-18|0.03225806451612903;2021-01-20|0.034482758620689655;2021-01-22|0.03571428571428571;2021-01-25|0.03333333333333333;2021-01-27|0.03225806451612903;2021-01-29|0.03333333333333333;2021-01-31|0.03333333333333333;2021-02-01|0.03333333333333333;2021-02-03|0.03333333333333333;2021-02-05|0.03225806451612903;2021-02-07|0.03225806451612903;2021-02-08|0.03225806451612903;2021-02-10|0.03225806451612903;2021-02-12|0.03125;2021-02-14|0.03125;2021-02-15|0.03125;2021-02-17|0.03225806451612903;2021-02-19|0.03333333333333333;2021-02-22|0.03333333333333333;2021-02-23|0.03571428571428571;2021-02-24|0.03571428571428571;2021-02-26|0.03571428571428571;2021-02-28|0.03571428571428571;2021-03-01|0.037037037037037035;2021-03-03|0.03571428571428571;2021-03-05|0.03571428571428571;2021-03-07|0.037037037037037035;2021-03-08|0.038461538461538464;2021-03-10|0.04;2021-03-12|0.03571428571428571;2021-03-14|0.038461538461538464;2021-03-15|0.037037037037037035;2021-03-17|0.037037037037037035;2021-03-19|0.034482758620689655;2021-03-21|0.034482758620689655;2021-03-22|0.034482758620689655;2021-03-24|0.034482758620689655;2021-03-26|0.037037037037037035;2021-03-28|0.037037037037037035;2021-03-29|0.04;2021-03-31|0.038461538461538464;2021-04-02|0.041666666666666664;2021-04-04|0.041666666666666664;2021-04-05|0.041666666666666664;2021-04-07|0.041666666666666664;2021-04-09|0.038461538461538464;2021-04-11|0.038461538461538464;2021-04-12|0.038461538461538464;2021-04-14|0.038461538461538464;2021-04-16|0.038461538461538464;2021-04-18|0.038461538461538464;2021-04-19|0.038461538461538464;2021-04-21|0.037037037037037035;2021-04-23|0.04;2021-04-25|0.04;2021-04-26|0.04;2021-04-28|0.04;2021-04-30|0.037037037037037035;2021-05-02|0.037037037037037035;2021-05-03|0.037037037037037035;2021-05-05|0.037037037037037035;2021-05-07|0.07407407407407407;2021-05-09|0.07407407407407407;2021-05-10|0.07407407407407407;2021-05-12|0.07407407407407407;2021-05-14|0.07407407407407407;2021-05-16|0.07407407407407407;2021-05-17|0.07407407407407407;2021-05-19|0.07407407407407407;2021-05-21|0.07407407407407407;2021-05-23|0.07407407407407407;2021-05-24|0.07407407407407407;2021-05-26|0.07407407407407407;2021-05-30|0.07407407407407407;2021-05-31|0.07407407407407407;2021-06-02|NaN;2021-06-04|NaN;2021-06-06|NaN;2021-06-07|NaN;2021-06-09|NaN;2021-06-11|NaN;2021-06-13|NaN;2021-06-14|NaN;2021-06-18|NaN;2021-06-21|NaN;2021-06-25|NaN;2021-06-28|NaN;,,,,,,,,,,,,
1738,Maine,Statewide,,,,,,,,,,,,,,
1795,Maine,ICE Cumberland County Jail,2020-11-16|1;2020-11-17|1;2020-11-18|1;2020-11-19|1;2020-11-20|1;2020-11-23|1;2020-11-24|1;2020-11-25|1;2020-11-27|1;2020-11-30|1;2020-12-01|1;2020-12-02|1;2020-12-03|1;2020-12-04|1;2020-12-07|1;2020-12-08|1;2020-12-09|1;2020-12-10|1;2020-12-11|1;2020-12-14|1;2020-12-15|1;2020-12-16|1;2020-12-17|1;2020-12-18|1;2020-12-21|1;2020-12-22|1;2020-12-23|1;2020-12-28|1;2020-12-29|1;2020-12-30|1;2020-12-31|1;2021-01-04|1;2021-01-05|1;2021-01-06|1;2021-01-07|1;2021-01-08|1;2021-01-11|1;2021-01-12|1;2021-01-13|1;2021-01-15|1;2021-01-17|1;2021-01-18|1;2021-01-20|1;2021-01-22|1;2021-01-25|1;2021-01-27|1;2021-01-29|1;2021-01-31|1;2021-02-01|1;2021-02-03|1;2021-02-05|1;2021-02-08|1;2021-02-10|1;2021-02-12|1;2021-02-14|1;2021-02-15|1;2021-02-17|1;2021-02-19|1;2021-02-22|1;2021-02-23|1;2021-02-24|1;2021-02-26|1;2021-02-28|1;2021-03-01|1;2021-03-03|1;2021-03-05|1;2021-03-07|1;2021-03-08|1;2021-03-10|1;2021-03-12|1;2021-03-14|1;2021-03-15|1;2021-03-17|1;2021-03-19|1;2021-03-21|1;2021-03-22|1;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-29|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-07|1;2021-05-09|1;2021-05-10|1;2021-05-12|1;2021-05-14|1;2021-05-16|1;2021-05-17|1;2021-05-19|1;2021-05-21|1;2021-05-23|1;2021-05-24|1;2021-05-26|1;2021-05-30|1;2021-05-31|1;2021-06-02|1;2021-06-04|1;2021-06-06|1;2021-06-07|1;2021-06-09|1;2021-06-11|1;2021-06-13|1;2021-06-14|1;2021-06-18|1;2021-06-21|1;2021-06-25|1;2021-06-28|1;,,2020-11-16|0;2020-11-17|0;2020-11-18|0;2020-11-19|0;2020-11-20|0;2020-11-23|0;2020-11-24|0;2020-11-25|0;2020-11-27|0;2020-11-30|0;2020-12-01|0;2020-12-02|0;2020-12-03|0;2020-12-04|0;2020-12-07|0;2020-12-08|0;2020-12-09|0;2020-12-10|0;2020-12-11|0;2020-12-14|0;2020-12-15|0;2020-12-16|0;2020-12-17|0;2020-12-18|0;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2020-12-31|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-07|0;2021-01-08|0;2021-01-11|0;2021-01-12|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,2020-11-16|1;2020-11-17|1;2020-11-18|1;2020-11-19|1;2020-11-20|1;2020-11-23|1;2020-11-24|1;2020-11-25|1;2020-11-27|1;2020-11-30|1;2020-12-01|1;2020-12-02|1;2020-12-03|1;2020-12-04|1;2020-12-07|1;2020-12-08|1;2020-12-09|1;2020-12-10|1;2020-12-11|1;2020-12-14|1;2020-12-15|1;2020-12-16|1;2020-12-17|1;2020-12-18|1;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2020-12-31|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-07|0;2021-01-08|0;2021-01-11|0;2021-01-12|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,,,,,,,,
